Location,Time,Hospital_Stay,MRI_Units,CT_Scanners,Hospital_Beds
FRA,2018,5.4,14.77,17.68,14.77
DEU,2000,10.1,14.32,24.61,14.32
DEU,2001,9.8,15.96,25.19,15.96
DEU,2002,9.6,17.51,27.06,17.51
DEU,2003,9.3,18.48,27.55,18.48
DEU,2004,8.9,18.97,28.71,18.97
DEU,2005,8.8,19.89,29.51,19.89
DEU,2006,8.7,21.39,29.12,21.39
DEU,2007,8.5,22.43,29.73,22.43
DEU,2008,8.3,23.6,31.15,23.6
DEU,2009,8.2,25.15,31.24,25.15
DEU,2010,8.1,27.04,32.32,27.04
DEU,2011,7.9,28.86,33.48,28.86
DEU,2012,7.8,28.66,34.01,28.66
DEU,2013,7.7,28.92,33.72,28.92
DEU,2014,7.6,30.5,35.34,30.5
DEU,2015,7.6,33.63,35.09,33.63
DEU,2016,7.5,34.49,35.17,34.49
DEU,2017,7.5,34.71,35.13,34.71
GRC,2005,5.6,13.38,25.48,13.38
GRC,2006,5.8,16.51,26.68,16.51
GRC,2007,5.4,18.1,29.33,18.1
GRC,2008,5.4,19.86,31.05,19.86
GRC,2009,5.3,22.06,31.24,22.06
GRC,2010,5.3,22.93,32.73,22.93
GRC,2011,5.4,22.42,33.14,22.42
GRC,2012,5.2,21.91,33.41,21.91
GRC,2013,5.6,22.07,33.65,22.07
GRC,2014,5.6,22.86,34.61,22.86
HUN,1990,9.9,0.1,1.93,0.1
HUN,1991,9.7,0.29,2.99,0.29
HUN,1992,9.5,0.29,3.09,0.29
HUN,1993,9.5,0.39,3.86,0.39
HUN,1994,9.8,0.77,4.16,0.77
HUN,1995,9.2,0.97,4.55,0.97
HUN,1996,8.6,1.36,4.95,1.36
HUN,1997,8.2,1.36,4.57,1.36
HUN,1998,7.8,1.46,4.97,1.46
HUN,1999,7.5,1.47,5.08,1.47
HUN,2000,7.1,1.76,5.68,1.76
HUN,2001,7.0,1.96,5.99,1.96
HUN,2002,6.9,2.26,6.3,2.26
HUN,2003,6.7,2.57,6.52,2.57
HUN,2004,6.7,2.57,6.83,2.57
HUN,2005,6.5,2.58,7.14,2.58
HUN,2006,6.4,2.58,7.25,2.58
HUN,2007,6.0,2.78,7.26,2.78
HUN,2008,6.0,2.79,7.07,2.79
HUN,2009,5.8,2.79,7.18,2.79
HUN,2010,5.8,3.0,7.3,3.0
HUN,2011,5.8,3.01,7.32,3.01
HUN,2012,5.8,2.82,7.66,2.82
HUN,2013,5.7,3.03,7.88,3.03
HUN,2014,5.6,3.14,8.31,3.14
HUN,2015,5.5,3.56,8.43,3.56
HUN,2016,5.5,3.97,8.86,3.97
HUN,2017,5.5,4.7,9.19,4.7
HUN,2018,5.4,4.91,9.41,4.91
IRL,2006,6.3,7.95,12.63,7.95
IRL,2007,6.1,8.41,14.09,8.41
IRL,2008,6.2,8.91,14.26,8.91
IRL,2009,6.1,11.69,14.99,11.69
IRL,2010,6.0,12.28,15.35,12.28
IRL,2011,5.9,13.1,15.72,13.1
IRL,2012,5.9,12.39,16.74,12.39
IRL,2013,5.7,13.19,17.73,13.19
IRL,2014,5.6,13.31,16.53,13.31
IRL,2015,5.8,14.04,17.65,14.04
IRL,2016,5.8,14.72,17.24,14.72
IRL,2017,5.9,15.18,19.14,15.18
IRL,2018,5.9,16.03,20.34,16.03
ITA,1997,7.3,4.11,14.8,4.11
ITA,1998,7.2,5.82,18.01,5.82
ITA,1999,7.0,6.25,18.99,6.25
ITA,2000,7.0,7.76,21.13,7.76
ITA,2001,7.0,9.07,23.01,9.07
ITA,2002,6.7,10.85,24.05,10.85
ITA,2003,6.7,11.9,23.92,11.9
ITA,2004,6.7,14.09,26.23,14.09
ITA,2005,6.7,15.01,27.82,15.01
ITA,2006,6.7,16.96,29.29,16.96
ITA,2007,6.7,18.77,30.55,18.77
ITA,2008,6.8,20.06,30.96,20.06
ITA,2009,6.7,21.59,31.85,21.59
ITA,2010,6.7,22.47,32.17,22.47
ITA,2011,6.8,24.17,32.62,24.17
ITA,2012,6.8,24.62,33.29,24.62
ITA,2013,6.8,25.2,33.1,25.2
ITA,2014,6.8,26.19,32.9,26.19
ITA,2015,6.9,28.24,33.31,28.24
ITA,2016,6.9,28.4,34.29,28.4
ITA,2017,6.9,28.66,34.57,28.66
ITA,2018,7.0,28.73,35.12,28.73
JPN,1996,32.7,18.75,74.7,18.75
JPN,1999,27.2,23.19,84.41,23.19
JPN,2002,22.2,35.32,92.62,35.32
JPN,2008,18.8,42.96,96.97,42.96
JPN,2011,17.9,46.86,101.25,46.86
JPN,2014,16.9,51.69,107.17,51.69
JPN,2017,16.2,55.21,111.49,55.21
KOR,1993,11.0,1.81,12.22,1.81
KOR,1994,11.0,2.87,13.69,2.87
KOR,1995,11.0,3.86,15.5,3.86
KOR,1996,11.0,4.7,20.12,4.7
KOR,1997,11.0,5.14,21.02,5.14
KOR,2000,11.0,5.4,28.38,5.4
KOR,2001,11.0,6.8,27.3,6.8
KOR,2002,11.0,7.85,30.94,7.85
KOR,2003,10.6,8.98,31.86,8.98
KOR,2010,10.0,19.88,35.17,19.88
KOR,2011,10.1,21.27,35.79,21.27
KOR,2012,9.2,23.37,36.93,23.37
KOR,2013,8.9,24.35,37.5,24.35
KOR,2014,8.0,25.5,36.85,25.5
KOR,2015,7.9,26.27,37.03,26.27
KOR,2016,7.6,27.81,37.8,27.81
KOR,2017,7.6,29.08,38.18,29.08
KOR,2018,7.5,30.08,38.56,30.08
LUX,2002,7.5,4.48,24.65,4.48
LUX,2003,7.4,11.07,26.57,11.07
LUX,2004,7.2,10.91,28.38,10.91
LUX,2005,7.2,10.75,27.95,10.75
LUX,2006,7.4,10.58,27.51,10.58
LUX,2007,7.5,10.42,27.08,10.42
LUX,2008,7.3,12.28,26.6,12.28
LUX,2009,7.5,14.06,26.12,14.06
LUX,2010,7.6,13.81,25.64,13.81
LUX,2011,7.3,13.5,25.08,13.5
LUX,2012,7.4,13.18,24.48,13.18
LUX,2013,7.3,12.88,22.08,12.88
LUX,2014,7.3,12.58,21.57,12.58
LUX,2015,7.4,12.29,17.56,12.29
LUX,2016,7.4,12.0,17.14,12.0
LUX,2017,7.4,11.74,16.77,11.74
LUX,2018,7.6,11.51,16.45,11.51
NLD,1990,11.2,0.87,7.29,0.87
NLD,1992,10.6,1.78,7.24,1.78
NLD,1993,10.4,2.49,9.03,2.49
NLD,2004,7.5,6.2,7.12,6.2
NLD,2005,7.2,6.56,8.21,6.56
NLD,2006,6.6,7.83,8.38,7.83
NLD,2007,6.2,7.63,7.81,7.63
NLD,2008,6.0,10.4,10.22,10.4
NLD,2009,5.6,10.95,11.25,10.95
NLD,2010,5.6,12.22,12.34,12.22
NLD,2011,6.5,12.88,12.52,12.88
NLD,2012,6.4,11.82,10.92,11.82
NLD,2013,6.7,11.49,11.54,11.49
NLD,2014,6.7,12.87,13.34,12.87
NLD,2015,5.0,12.51,13.75,12.51
NLD,2016,5.0,12.8,13.04,12.8
NLD,2017,5.0,13.02,13.48,13.02
NLD,2018,5.1,13.06,14.22,13.06
NZL,2003,5.2,3.72,11.42,3.72
NZL,2007,5.9,8.76,12.31,8.76
NZL,2008,6.2,9.62,12.44,9.62
NZL,2009,6.1,9.76,14.64,9.76
NZL,2010,6.1,10.57,15.63,10.57
NZL,2011,6.2,11.18,15.51,11.18
NZL,2012,6.0,11.12,15.43,11.12
NZL,2013,5.6,11.26,16.66,11.26
NZL,2015,5.4,13.3,17.88,13.3
NZL,2016,5.1,13.89,17.96,13.89
NZL,2017,5.0,13.64,16.79,13.64
POL,2005,7.9,2.02,7.94,2.02
POL,2006,7.6,1.94,9.23,1.94
POL,2007,7.4,2.7,9.65,2.7
POL,2008,7.5,2.94,10.86,2.94
POL,2009,7.4,3.7,12.4,3.7
POL,2010,7.3,4.71,14.38,4.71
POL,2011,7.1,4.83,13.61,4.83
POL,2012,6.8,5.49,15.4,5.49
POL,2013,6.7,6.78,17.09,6.78
POL,2014,6.6,6.6,15.63,6.6
POL,2015,6.9,7.63,17.16,7.63
POL,2016,6.7,7.87,17.33,7.87
POL,2017,6.6,7.93,16.88,7.93
POL,2018,6.5,9.22,18.14,9.22
PRT,2006,8.6,5.8,25.94,5.8
PRT,2007,8.4,8.92,26.18,8.92
PRT,2008,8.3,9.28,27.56,9.28
SVK,2003,7.4,2.05,9.12,2.05
SVK,2004,7.3,3.72,10.24,3.72
SVK,2005,7.3,4.28,11.35,4.28
SVK,2006,7.2,4.47,12.28,4.47
SVK,2007,7.0,5.77,13.77,5.77
SVK,2008,6.9,6.13,13.76,6.13
SVK,2009,6.7,6.13,13.37,6.13
SVK,2010,6.6,6.86,14.1,6.86
SVK,2011,6.3,7.04,15.0,7.04
SVK,2012,6.2,6.29,15.53,6.29
SVK,2013,6.2,6.65,15.33,6.65
SVK,2014,7.0,8.3,17.35,8.3
SVK,2015,6.9,8.85,17.88,8.85
SVK,2016,6.8,9.02,17.31,9.02
SVK,2017,6.8,9.56,17.28,9.56
SVK,2018,6.7,9.55,18.36,9.55
ESP,2010,6.4,11.98,15.95,11.98
ESP,2011,6.2,13.76,16.64,13.76
ESP,2012,6.1,14.77,17.19,14.77
ESP,2013,6.1,15.34,17.59,15.34
ESP,2014,6.0,15.51,17.6,15.51
ESP,2015,6.1,15.85,18.02,15.85
ESP,2016,6.0,16.09,18.31,16.09
ESP,2017,6.0,16.38,18.65,16.38
ESP,2018,6.0,17.2,19.12,17.2
TUR,2002,5.8,0.88,4.89,0.88
TUR,2003,5.7,1.48,5.63,1.48
TUR,2004,5.6,2.2,6.6,2.2
TUR,2005,5.3,2.91,7.44,2.91
TUR,2006,5.1,4.47,8.56,4.47
TUR,2007,4.4,5.84,9.62,5.84
TUR,2008,4.1,7.91,10.68,7.91
TUR,2009,4.1,8.68,11.63,8.68
TUR,2010,4.0,9.27,12.36,9.27
TUR,2011,3.9,9.55,13.12,9.55
TUR,2012,3.9,9.58,13.53,9.58
TUR,2013,3.9,9.86,13.89,9.86
TUR,2014,4.0,9.81,13.88,9.81
TUR,2015,3.9,10.15,14.31,10.15
TUR,2016,4.0,10.55,14.53,10.55
TUR,2017,4.1,11.01,14.77,11.01
TUR,2018,4.1,11.24,14.88,11.24
GBR,2001,7.7,6.21,6.88,6.21
GBR,2002,7.5,4.99,7.29,4.99
GBR,2003,7.3,4.54,6.91,4.54
GBR,2004,7.1,5.0,7.02,5.0
GBR,2005,6.9,5.4,7.45,5.4
GBR,2006,6.6,5.62,7.53,5.62
GBR,2008,6.3,5.5,7.26,5.5
GBR,2010,6.1,6.55,7.92,6.55
GBR,2011,6.0,6.96,8.48,6.96
GBR,2012,6.0,7.16,9.09,7.16
GBR,2013,6.0,7.2,9.3,7.2
GBR,2014,6.0,7.23,9.46,7.23
USA,1997,6.1,11.41,24.1,11.41
USA,1999,5.9,13.19,25.09,13.19
USA,2001,5.8,17.44,28.88,17.44
USA,2003,5.7,19.32,29.26,19.32
USA,2004,5.6,26.67,32.29,26.67
USA,2006,5.6,26.58,34.02,26.58
USA,2007,5.5,25.93,34.31,25.93
USA,2012,5.4,34.46,43.89,34.46
USA,2013,5.4,35.51,43.5,35.51
USA,2014,5.5,38.12,41.05,38.12
USA,2015,5.5,39.03,41.01,39.03
USA,2016,5.5,36.74,41.88,36.74
USA,2017,5.5,37.65,42.74,37.65
EST,2005,6.0,2.21,7.38,2.21
EST,2006,5.9,3.71,7.42,3.71
EST,2007,5.9,5.22,11.19,5.22
EST,2008,5.7,8.23,14.96,8.23
EST,2009,5.6,7.49,14.99,7.49
EST,2010,5.5,8.26,15.77,8.26
EST,2011,5.5,9.79,16.57,9.79
EST,2012,5.6,9.83,17.39,9.83
EST,2013,6.0,11.38,18.97,11.38
EST,2014,5.9,11.41,19.78,11.41
EST,2015,6.0,12.16,16.72,12.16
EST,2016,6.1,13.68,17.48,13.68
EST,2017,6.1,13.66,18.22,13.66
EST,2018,6.1,13.62,18.91,13.62
ISR,2000,7.1,1.43,5.57,1.43
ISR,2001,6.2,1.4,6.37,1.4
ISR,2002,5.9,1.37,6.24,1.37
ISR,2003,5.8,1.64,5.83,1.64
ISR,2004,6.0,1.62,6.32,1.62
ISR,2005,5.7,1.73,6.49,1.73
ISR,2006,5.5,1.84,6.38,1.84
ISR,2007,5.2,2.23,7.94,2.23
ISR,2008,5.1,2.33,8.21,2.33
ISR,2009,5.1,2.27,8.68,2.27
ISR,2010,5.2,2.23,8.79,2.23
ISR,2011,5.2,2.7,8.76,2.7
ISR,2012,5.1,3.29,8.98,3.29
ISR,2013,5.2,3.47,8.93,3.47
ISR,2014,5.1,4.02,9.49,4.02
ISR,2015,5.2,4.06,9.67,4.06
ISR,2016,5.2,4.91,9.6,4.91
ISR,2017,5.1,5.16,9.53,5.16
ISR,2018,5.0,5.18,9.57,5.18
RUS,1993,13.6,0.92,1.58,0.92
RUS,1994,13.6,0.77,1.48,0.77
RUS,1995,13.6,0.61,1.82,0.61
RUS,1996,13.6,0.7,2.1,0.7
RUS,1997,14.3,0.85,2.21,0.85
RUS,1998,14.0,0.74,2.32,0.74
RUS,1999,13.7,0.88,2.39,0.88
RUS,2000,13.5,1.13,2.58,1.13
RUS,2001,13.2,1.11,2.66,1.11
RUS,2002,12.9,1.31,2.77,1.31
RUS,2004,12.2,1.36,3.32,1.36
RUS,2005,11.9,1.54,3.77,1.54
RUS,2006,11.5,2.12,4.04,2.12
RUS,2007,11.4,2.02,4.42,2.02
RUS,2008,11.3,2.27,5.02,2.27
RUS,2009,11.0,2.52,6.02,2.52
RUS,2010,10.8,2.51,6.9,2.51
RUS,2011,11.3,2.62,7.72,2.62
RUS,2012,10.8,4.17,9.09,4.17
RUS,2013,10.3,3.99,11.28,3.99
RUS,2014,9.9,4.44,12.2,4.44
RUS,2015,9.7,4.64,12.56,4.64
RUS,2016,9.4,4.52,12.76,4.52
RUS,2017,9.3,4.6,13.0,4.6
RUS,2018,9.1,4.84,13.37,4.84
SVN,2006,5.8,6.48,10.46,6.48
SVN,2008,5.7,6.43,12.37,6.43
SVN,2009,5.6,7.35,11.77,7.35
SVN,2010,5.5,7.81,12.69,7.81
SVN,2011,6.8,8.77,12.67,8.77
SVN,2012,6.9,8.75,12.64,8.75
SVN,2013,6.6,9.22,12.14,9.22
SVN,2014,6.6,9.21,13.09,9.21
SVN,2015,6.5,9.21,13.08,9.21
SVN,2016,6.5,11.14,14.04,11.14
SVN,2017,6.6,11.61,15.0,11.61
SVN,2018,6.7,12.05,15.91,12.05
ISL,2007,5.6,19.26,32.1,19.26
ISL,2008,5.5,18.9,31.5,18.9
ISL,2009,5.5,21.98,34.54,21.98
ISL,2010,5.4,22.01,37.73,22.01
ISL,2011,5.3,21.94,40.75,21.94
ISL,2012,5.5,21.83,40.53,21.83
ISL,2013,5.6,21.62,40.15,21.62
ISL,2014,5.8,21.38,39.71,21.38
ISL,2015,5.9,21.16,39.3,21.16
ISL,2016,5.9,20.87,38.76,20.87
ISL,2017,5.7,20.38,43.68,20.38
ISL,2018,5.6,19.85,48.2,19.85
LVA,2003,7.9,1.31,13.55,1.31
LVA,2004,7.8,0.88,15.02,0.88
LVA,2005,7.4,2.68,18.31,2.68
LVA,2006,7.2,2.7,18.48,2.7
LVA,2007,7.1,5.0,21.81,5.0
LVA,2008,7.1,6.89,23.88,6.89
LVA,2009,6.1,7.47,25.68,7.47
LVA,2010,6.2,8.1,29.08,8.1
LVA,2011,6.0,9.22,31.07,9.22
LVA,2012,5.8,9.83,32.44,9.83
LVA,2013,5.8,10.43,34.78,10.43
LVA,2014,5.9,12.54,36.11,12.54
LVA,2015,6.0,12.64,36.91,12.64
LVA,2016,5.9,13.78,36.23,13.78
LVA,2017,6.0,13.9,39.13,13.9
LVA,2018,6.0,13.49,38.4,13.49
LTU,2000,9.2,0.29,6.57,0.29
LTU,2001,9.0,0.86,7.2,0.86
LTU,2002,8.7,0.87,8.71,0.87
LTU,2003,8.3,0.88,9.08,0.88
LTU,2004,8.2,1.18,11.55,1.18
LTU,2005,8.1,1.5,12.04,1.5
LTU,2006,8.0,3.06,12.84,3.06
LTU,2007,7.7,3.4,10.52,3.4
LTU,2008,7.5,4.38,13.76,4.38
LTU,2009,7.2,5.37,16.12,5.37
LTU,2010,7.1,4.84,18.73,4.84
LTU,2011,7.0,5.94,20.14,5.94
LTU,2012,6.9,10.04,23.76,10.04
LTU,2013,6.9,10.48,23.67,10.48
LTU,2014,6.8,10.57,22.17,10.57
LTU,2015,6.6,11.02,21.0,11.02
LTU,2016,6.6,12.2,23.01,12.2
LTU,2017,6.5,12.37,23.33,12.37
LTU,2018,6.5,12.49,24.27,12.49
